"id","imageName","name","registryName","inventory","category","slot","visualChange","goldPrice","reputationPrice","classRequired","itemLvl","attackType","minimumDamage","maximumDamage","critChance","critDamage","hitrate","booleanhighBadEffectPrevention","hpRecoveryIncrease","elementIncreased","elementIncreasedAmount","allDefenceIncrease","rangedHitrateIncrease","damageIncreaseAmountPercentage","damageIncreaseProbability","allElementsIncrease","maxMPIncrease","rangedAttackIncrease","meleeAttackIncrease","meleeAttacksDodge","allAttackIncrease","allAttackIncreasePercentage","magicAttackIncrease","skillManaDecrease","MPRecoveryIncrease","booleannoImpactOnMorale","maximumHPIncrease","moraleIncrease","rangedAttackDodge","resistanceType","resistanceAmount","magicDefenceIncrease","criticalChanceIncrease","randomDefencePercentage","randomDefenceChance","randomDefenceType","attacksBelowType","attacksBelowLevel","attacksBelowPercentage","effectWhen","effectChance","effectName","resistanceAll","elementDecreased","elementDecreasedAmount","dodgeIncrease","attackLevelIncrease","defenceLevelIncrease","damageDecreasePercentage","allDefencesIncreasePercentage","booleanGeneratesResistanceToCertainEffect","booleanCertainMonsterGroupsMistakeYouAsAFriend","criticalHitsChanceDecreasePercentage","selfIncreasedDamageAgainst","selfIncreasedDamageAgainstAmount","criticalHitDamageIncreasePercentage","enemyElementalResistanceDecrease","criticalHitDamageDecreasePercentage","attackLeechHPAmount","attackLeechHPChance","attackLeechMPChance","attackLeechMPAmount","attackLeechMPChance2","attackLeechMPAmount2","meleeDamageDecreasePercentage","attackDecreaseMP","enemyResistanceDecreaseType","enemyResistanceReducedAmount","attackIncreasedDamageAgainst","attackIncreasedDamageAgainstAmount","concentrationIncreaseAmount","defenceIncreaseAmount","defenceIncreaseType","belowLevelNeverBadGeneralEffectLevel","belowLevelNeverBadGeneralEffectPercentage","magicAttackPowerDecrease","rangeDamageDecreasePercentage","magicDamageDecreasePercentage","movementSpeedIncreasePercentage","movementSpeedDecrease","movementSpeedIncrease","allAttacksHitrateIncreas","nextAttackPointsLevelMultiplier","HPRestore","MPRestore","HPRestorePercentage","MPRestorePercentage","HPDecrease","MPDecrease","booleanScrollSafe","booleanScrollLowerSPProtection","booleanScrollHigherSPProtection","summonName","summonAmount","booleanCancelEffectsForACertainGroup","additionalMPReceived","additionalMPReceivedMaximumPercentage","additionalHPReceivedMaximumPercentage","additionalHPReceived","effectResistancePercentage","effectResistanceName","goldEarnedIncreasePercentage","experienceEarnedIncreasePercentage","defenceAllyEffectRadius","defenceAllyEffectChance","defenceAllyEffectName","pvpAttackPowerIncrease","recoveryItemsEffectivenessIncrease","defenceBadEffectRemovalPercentage","defenceBadEffectRemovalLevel","badEffectRemovalLevel","badEffectRemovalPercentage","damageIncreaseForMonstersAboveLevelPercentage","damageIncreaseForMonstersAboveLevelAmount","movementSpeedIncreaseWhenHidden","pvpDefencePowerIncrease","skillUsedResetChance","skillCooldownDecreasePercentage","concentrationIncreasePlayerLevelMultiplier","hitrateIncreasePlayerLevelMultiplier","fameReceivedIncreasePercentage","resistsForcedMovementChance","defenceIncreasePlayerLevelMultiplier","defenceIncreasePlayerLevelMultiplierType","deathReputationLostDecreasePercentage","championExperienceIncreasePercentage","demonMaxDamageIncrease","angelMaxDamageIncrease","criticalDamageReceivedDecreaseChance","criticalDamageReceivedDecreasePercentage","targetDefenceIgnorePercentage","targetDefenceIgnoreChance","championExperienceLostOnDeathReducePercentage","effectRemoveName","effectRemoveChance","elementIncreasedAmount_1","elementIncreased_1","randomDefenceChance_1","randomDefencePercentage_1","randomDefenceType_1","resistanceAmount_1","resistanceType_1","selfIncreasedDamageAgainst_1","selfIncreasedDamageAgainstAmount_1","enemyResistanceDecreaseType_1","enemyResistanceReducedAmount_1","imageName_1","effectResistanceName_1","effectResistancePercentage_1","effectName_1","effectChance_1","effectWhen_1"
"262","262","Elvin's Sword","elvins_sword","Wear","One-handed sword","main weapon","5","32130",,"swordsman","45","Melee attack","202","262","16","140","220",,,,,,,,,,,,,,,,,,,,"400",,,"Shadow","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"263","263","Glorious Sabre","glorious_sabre","Wear","One-handed sword","main weapon","6","73840",,"swordsman","65","Melee attack","280","358","12","110","300",,,,,,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"264","264","Broken Elemental Sword","broken_elemental_sword","Wear","One-handed sword","main weapon","7","103275",,"swordsman","75","Melee attack","318","366","9","130","328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"265","265","Red Bow","red_bow","Wear","Short bow","main weapon","7","32130",,"archer","45","Ranged attack","190","280","12","110","225",,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"266","266","Bow of Peace","bow_of_peace","Wear","Short bow","main weapon","5","73840",,"archer","65","Ranged attack","275","361","12","150","298",,,"Water","40",,,"25","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"267","267","Majestic Bow","majestic_bow","Wear","Short bow","main weapon","6","103275",,"archer","75","Ranged attack","307","390","10","140","330",,,,,,,,,"52",,,,,,,,,,,,,,,,,,"14","8","magic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"268","268","Red Sage Wand","red_sage_wand","Wear","Wand","main weapon","5","32130",,"mage","45","Magic attack","202","251",,,,,,"Fire","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10","200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"269","269","Ghost Whisper Wand","ghost_whisper_wand","Wear","Wand","main weapon","7","73840",,"mage","65","Magic attack","288","347",,,,,,,,,,,,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"270","270","Majestic Wand","majestic_wand","Wear","Wand","main weapon","6","103275",,"mage","75","Magic attack","325","358",,,,,,,,,,,,,"700",,,,,,,,,,"500",,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"271","271","Blue Robe of the Wise","blue_robe_of_the_wise","Wear","Spirit species costume","clothes","2","51975",,"mage","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"272","272","Trial Robe","trial_robe","Wear","Spirit species costume","clothes","3","85008",,"mage","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,"4",,,,,,,,,,,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"273","804","Solaris","solaris","Wear","Fairy","fairy","4","480",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"274","274","Sellaim","sellaim","Wear","Fairy","fairy","5","120",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"275","275","Woondine","woondine","Wear","Fairy","fairy","6","280",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"276","276","Eperial","eperial","Wear","Fairy","fairy","7","480",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"277","277","Turik","turik","Wear","Fairy","fairy","8","720",,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"278","274","Grown Sellaim","grown_sellaim","Wear","Fairy","fairy","5","120",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"279","275","Grown Woondine","grown_woondine","Wear","Fairy","fairy","6","280",,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"280","276","Grown Eperial","grown_eperial","Wear","Fairy","fairy","7","480",,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"281","277","Grown Turik","grown_turik","Wear","Fairy","fairy","8","720",,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"282","282","Blessing Amulet","blessing_amulet","Wear","Amulet","scroll",,"120",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"283","283","Protection Amulet","protection_amulet","Wear","Amulet","scroll",,"120",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"284","284","Amulet of Reinforcement","amulet_of_reinforcement","Wear","Amulet","scroll",,"120",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"285","285","Pet Bead","pet_bead","Wear","Store",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"286","286","Partner Bead","partner_bead","Wear","Store",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"287","287","Specialist Card Holder","specialist_card_holder","Wear","Store",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"288","288","NosMall Inauguration Amulet","nosmall_inauguration_amulet","Wear","Amulet","scroll",,"3300",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289","289","Scrammer","scrammer","Wear","Dagger","secondary weapon","1","30800",,"archer","44","Melee attack","170","197","11","170","220",,,"Shadow","45",,,"20","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"290","290","Kris","kris","Wear","Dagger","secondary weapon","1","78256",,"archer","67","Melee attack","244","270","9","240","307",,,,,,,,,,,,,,"20",,,,,,,,,"Light","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"291","291","Winslet Crossbow","winslet_crossbow","Wear","Crossbow and catapult","secondary weapon","1","30800",,"swordsman","44","Ranged attack","205","226","12","150","215",,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fire","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"292","292","Balenty Crossbow","balenty_crossbow","Wear","Crossbow and catapult","secondary weapon","1","78256",,"swordsman","67","Ranged attack","278","325","7","130","305",,,,,,,,,"45",,,,,,,,,,,,,,,,,,"15","8","ranged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"293","293","Plaz Spell Gun","plaz_spell_gun","Wear","Spell Gun","secondary weapon","1","30800",,"mage","44","Ranged attack","208","224","6","100","216",,,,,,,,,"35",,,,,,,,,,,,,,,,,,"17","5","all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"294","294","Ray Spell Gun","ray_spell_gun","Wear","Spell Gun","secondary weapon","1","78256",,"mage","67","Ranged attack","300","314","8","110","301",,,,,,,"40","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"295","295","Sentinel Look","sentinel_look","Wear","Dexterity species costume","clothes","2","51975",,"archer","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shadow","6",,,"12","5","all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"296","296","Robe of Light","robe_of_light","Wear","Dexterity species costume","clothes","3","85008",,"archer","69",,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,"15","6","magic",,,,,,,"3",,,,,,,,,,,,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"297","297","Brave Defender","brave_defender","Wear","Body species costume","clothes","2","51975",,"swordsman","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"All","5","5",,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"298","298","Splendid Defender","splendid_defender","Wear","Body species costume","clothes","3","85008",,"swordsman","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","5","all",,,,,,,"5",,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"299","299","Flamberge","flamberge","Wear","One-handed sword","main weapon","4","90440",,"swordsman","70","Melee attack","300","345","13","150","310",,,,,,,"22","8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catsy (2|2)","80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"300","300","Piercing Force Bow","piercing_force_bow","Wear","Short bow","main weapon","4","90440",,"archer","70","Ranged attack","263","367","5","170","303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Low-level Undead (5|0)","32",,,,,,,,,,,,"water","7","Catsy (2|2)","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"301","301","Kai's Wand","kais_wand","Wear","Wand","main weapon","4","90440",,"mage","70","Magic attack","296","337",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Catsy (2|2)","80","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"302","302","Raid Box","raid_box","Wear","Store",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"303","303","Noble Orichalcum Necklace","noble_orichalcum_necklace","Wear","Necklace","necklace",,"132928",,,"62",,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,"Shadow","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"304","304","Ancient Orichalcum Necklace","ancient_orichalcum_necklace","Wear","Necklace","necklace",,"154368",,,"67",,,,,,,,,,,,,,,"12",,,,,,,,,,,,,,"Shadow","1","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15","Magic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"305","305","Noble Orichalcum Ring","noble_orichalcum_ring","Wear","Ring","ring",,"137088",,,"63",,,,,,,,,,,,,,,"13",,,,,,,,,,,,,,"Shadow","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"306","306","Ancient Orichalcum Ring","ancient_orichalcum_ring","Wear","Ring","ring",,"163392",,,"69",,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,"Shadow","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15","Melee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"307","307","Noble Orichalcum Bracelet","noble_orichalcum_bracelet","Wear","Bracelet","armlet",,"145600",,,"65",,,,,,,,,,,,,,,"8",,,,,,,,,,,,,,"Shadow","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"308","308","Ancient Orichalcum Bracelet","ancient_orichalcum_bracelet","Wear","Bracelet","armlet",,"178500",,,"70",,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,"Shadow","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15","Ranged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"309","309","Ancient Crystal Necklace","ancient_crystal_necklace","Wear","Necklace","necklace",,"57792",,,"43",,,,,,,,,"Light","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"310","310","Ancient Crystal Ring","ancient_crystal_ring","Wear","Ring","ring",,"60368",,,"44",,,,,,,,,"Fire","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"311","311","Ancient Crystal Bracelet","ancient_crystal_bracelet","Wear","Bracelet","armlet",,"63000",,,"45",,,,,,,,,,,,,,,,,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"312","312","Ancient Diamond Necklace","ancient_diamond_necklace","Wear","Necklace","necklace",,"92220",,,"53",,,,,,,,,"Fire","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"313","313","Ancient Diamond Ring","ancient_diamond_ring","Wear","Ring","ring",,"95580",,,"54",,,,,,,,,"Water","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"314","314","Ancient Diamond Bracelet","ancient_diamond_bracelet","Wear","Bracelet","armlet",,"99000",,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47","Magic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"315","315","Flame Gloves","flame_gloves","Wear","Glove","gloves",,"10584",,,"42",,,,,,,,,"Fire","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"316","316","Storm Gloves","storm_gloves","Wear","Glove","gloves",,"26000",,,"65",,,,,,,,,"Water","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"317","317","Divine Gloves","divine_gloves","Wear","Glove","gloves",,"32589",,,"71",,,,,,,,,"Light","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"318","318","Death Gloves","death_gloves","Wear","Glove","gloves",,"18480",,,"56",,,,,,,,,"Shadow","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"319","319","Blaze Shoes","blaze_shoes","Wear","Shoes","shoes",,"27456",,,"66",,,,,,,,,"Fire","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
